"","X.","Age","Sex","Job","Housing","Saving.accounts","Checking.account","Credit.amount","Duration","Purpose","Credit.Risks"
"2",1,22,"female",2,"own","little","moderate",5951,48,"radio/TV",2
"4",3,45,"male",2,"free","little","little",7882,42,"furniture/equipment",1
"5",4,53,"male",2,"free","little","little",4870,24,"car",2
"8",7,35,"male",3,"rent","little","moderate",6948,36,"car",1
"10",9,28,"male",3,"own","little","moderate",5234,30,"car",2
"11",10,25,"female",2,"rent","little","moderate",1295,12,"car",2
"12",11,24,"female",2,"rent","little","little",4308,48,"business",2
"13",12,22,"female",2,"own","little","moderate",1567,12,"radio/TV",1
"14",13,60,"male",1,"own","little","little",1199,24,"car",2
"15",14,28,"female",2,"rent","little","little",1403,15,"car",1
"16",15,32,"female",1,"own","moderate","little",1282,24,"radio/TV",2
"19",18,44,"female",3,"free","little","moderate",12579,24,"car",2
"22",21,44,"male",2,"rent","quite rich","little",2647,6,"radio/TV",1
"23",22,48,"male",1,"rent","little","little",2241,10,"car",1
"24",23,44,"male",2,"own","moderate","moderate",1804,12,"car",1
"26",25,36,"male",1,"own","little","little",1374,6,"furniture/equipment",1
"28",27,42,"female",2,"rent","rich","rich",409,12,"radio/TV",1
"29",28,34,"male",2,"own","little","moderate",2415,7,"radio/TV",1
"30",29,63,"male",2,"own","little","little",6836,60,"business",2
"31",30,36,"male",2,"own","rich","moderate",1913,18,"business",1
"32",31,27,"male",2,"own","little","little",4020,24,"furniture/equipment",1
"33",32,30,"male",2,"own","moderate","moderate",5866,18,"car",1
"35",34,33,"female",3,"own","little","rich",1474,12,"furniture/equipment",1
"36",35,25,"male",1,"own","little","moderate",4746,45,"radio/TV",2
"38",37,37,"male",2,"own","little","rich",2100,18,"radio/TV",2
"39",38,37,"male",2,"own","little","rich",1225,10,"domestic appliances",1
"40",39,24,"male",2,"own","little","moderate",458,9,"radio/TV",1
"42",41,26,"male",2,"own","quite rich","moderate",1158,12,"radio/TV",1
"43",42,44,"male",1,"own","little","moderate",6204,18,"repairs",1
"44",43,24,"male",2,"rent","moderate","little",6187,30,"car",1
"45",44,58,"female",1,"free","little","little",6143,48,"car",2
"48",47,23,"female",0,"rent","quite rich","little",1352,6,"car",1
"52",51,30,"male",3,"own","little","moderate",5965,27,"car",1
"55",54,57,"male",2,"free","little","moderate",2225,36,"car",2
"59",58,23,"female",3,"own","little","rich",1961,18,"car",1
"60",59,23,"female",1,"rent","little","little",6229,36,"furniture/equipment",2
"61",60,27,"male",2,"own","little","moderate",1391,9,"business",1
"63",62,61,"male",3,"free","little","moderate",1953,36,"business",2
"64",63,25,"male",2,"own","little","moderate",14421,48,"business",2
"68",67,22,"male",2,"own","rich","moderate",1007,12,"car",1
"73",72,51,"male",3,"free","little","little",1164,8,"vacation/others",1
"74",73,41,"female",1,"own","little","moderate",5954,42,"business",1
"76",75,66,"male",3,"free","little","little",1526,12,"car",1
"77",76,34,"male",2,"own","little","little",3965,42,"radio/TV",2
"78",77,51,"male",2,"own","little","moderate",4771,11,"radio/TV",1
"80",79,22,"male",2,"own","little","moderate",3832,30,"furniture/equipment",1
"84",83,58,"female",1,"own","little","little",1755,24,"vacation/others",1
"85",84,52,"male",1,"own","little","little",2315,10,"radio/TV",1
"87",86,27,"female",2,"own","little","moderate",1295,18,"furniture/equipment",1
"88",87,47,"male",2,"free","moderate","moderate",12612,36,"education",2
"89",88,30,"male",3,"own","moderate","little",2249,18,"car",1
"90",89,28,"male",2,"own","little","little",1108,12,"repairs",2
"92",91,54,"male",2,"own","little","little",1409,12,"car",1
"95",94,54,"male",2,"own","rich","moderate",1318,12,"car",1
"96",95,58,"male",2,"rent","little","moderate",15945,54,"business",2
"98",97,34,"male",2,"own","moderate","moderate",2622,18,"business",1
"99",98,36,"male",2,"own","little","moderate",2337,36,"radio/TV",1
"102",101,24,"male",2,"rent","little","moderate",2323,36,"radio/TV",1
"104",103,35,"male",2,"rent","little","moderate",1919,9,"furniture/equipment",1
"106",105,39,"male",3,"own","little","moderate",11938,24,"vacation/others",2
"108",107,32,"male",2,"own","little","moderate",6078,12,"car",1
"110",109,35,"male",2,"own","quite rich","moderate",1410,14,"business",1
"111",110,31,"male",2,"own","moderate","moderate",1449,6,"business",1
"112",111,23,"female",2,"rent","little","rich",392,15,"education",1
"113",112,28,"male",1,"rent","little","moderate",6260,18,"car",1
"115",114,35,"male",2,"own","quite rich","little",1680,12,"radio/TV",1
"119",118,23,"female",2,"own","quite rich","little",4281,33,"furniture/equipment",2
"120",119,36,"male",3,"own","quite rich","moderate",2366,12,"car",1
"121",120,25,"female",2,"own","little","little",1835,21,"radio/TV",2
"124",123,63,"male",2,"free","little","rich",781,10,"car",1
"126",125,30,"male",2,"own","little","little",2121,12,"car",1
"127",126,40,"male",1,"own","little","little",701,12,"radio/TV",1
"128",127,30,"male",2,"own","little","moderate",639,12,"repairs",2
"129",128,34,"male",3,"own","little","moderate",1860,12,"car",1
"130",129,29,"female",2,"own","little","little",3499,12,"car",2
"132",131,29,"male",2,"own","little","little",6887,36,"education",2
"138",137,66,"male",1,"own","quite rich","moderate",766,12,"radio/TV",2
"140",139,44,"female",1,"rent","little","rich",1881,12,"radio/TV",1
"141",140,27,"male",0,"own","rich","rich",709,6,"car",1
"142",141,30,"female",3,"own","little","moderate",4795,36,"radio/TV",1
"143",142,27,"male",3,"own","little","little",3416,27,"radio/TV",1
"144",143,22,"male",2,"own","little","little",2462,18,"furniture/equipment",2
"146",145,30,"male",2,"own","moderate","moderate",3566,48,"business",1
"147",146,39,"female",2,"own","little","little",860,6,"car",1
"149",148,28,"male",2,"own","little","little",5371,36,"furniture/equipment",1
"153",152,24,"male",2,"own","little","rich",5848,36,"radio/TV",1
"154",153,29,"female",2,"rent","rich","moderate",7758,24,"car",1
"155",154,36,"male",3,"rent","moderate","moderate",6967,24,"business",1
"156",155,20,"female",2,"rent","little","little",1282,12,"furniture/equipment",2
"157",156,48,"male",2,"own","moderate","little",1288,9,"repairs",1
"158",157,45,"male",1,"own","little","little",339,12,"education",1
"159",158,38,"male",2,"own","moderate","moderate",3512,24,"car",1
"164",163,70,"male",3,"free","little","moderate",7308,10,"car",1
"167",166,33,"female",2,"own","little","little",1131,18,"furniture/equipment",2
"168",167,20,"female",2,"own","rich","moderate",1577,11,"furniture/equipment",1
"170",169,31,"male",2,"own","little","moderate",1935,24,"business",2
"171",170,33,"male",2,"rent","little","little",950,15,"car",2
"173",172,34,"female",3,"own","little","moderate",2064,24,"furniture/equipment",2
"174",173,33,"male",2,"own","little","moderate",1414,8,"radio/TV",1
"175",174,26,"male",2,"own","little","little",3414,21,"education",2
"177",176,42,"male",2,"own","little","little",2577,12,"furniture/equipment",1
"178",177,52,"male",2,"own","quite rich","little",338,6,"radio/TV",1
"180",179,65,"male",2,"own","little","little",571,21,"car",1
"182",181,30,"male",3,"own","little","moderate",4455,36,"business",2
"185",184,36,"male",2,"own","little","moderate",884,18,"car",2
"187",186,74,"female",3,"free","little","moderate",5129,9,"car",2
"188",187,68,"male",0,"free","little","moderate",1175,16,"car",1
