"","player_api_id","ovr_rating","gk_rating","id","player_name","player_fifa_api_id","birthday","height","weight"
"1",2625,63,153,8372,"Patryk Rachwal,18",148544,"1981-01-27 00:00:00",175.26,154
"2",2752,72,53,2639,"Diego Mainz",135819,"1982-12-29 00:00:00",187.96,174
"3",2768,75,128,5319,"Jose Dorado",110019,"1982-07-10 00:00:00",180.34,154
"4",2770,74,148,4339,"Ignacio Gonzalez",182861,"1982-05-14 00:00:00",180.34,161
"5",2790,73,144,306,"Alberto Rey",110809,"1974-02-15 00:00:00",175.26,163
"6",2796,69,340,4734,"Javier Jimenez",198735,"1987-06-08 00:00:00",182.88,170
"7",2802,82,146,8249,"Pablo Hernandez",179591,"1985-04-11 00:00:00",172.72,159
"8",2805,76,141,9282,"Ruben Perez",190156,"1989-04-26 00:00:00",177.8,159
"9",2857,72,143,4467,"Ivan Perez",192720,"1985-11-16 00:00:00",172.72,143
"10",2862,76,146,10600,"Vicente Sanchez",140141,"1979-12-07 00:00:00",170.18,146
"11",2907,68,135,3997,"Gregory Lacombe",53023,"1982-01-11 00:00:00",165.1,128
"12",2973,72,147,10510,"Ugur Inceman",48738,"1981-05-25 00:00:00",182.88,176
"13",2977,82,104,2406,"David Rivas Rodriguez",134594,"1978-12-02 00:00:00",190.5,187
"14",2983,75,139,5283,"Jorge Molina",154472,"1982-04-22 00:00:00",187.96,192
"15",2984,75,364,9677,"Sergio Aragones",111106,"1977-02-01 00:00:00",182.88,176
"16",3140,69,136,481,"Alexandre Hauw",49467,"1982-01-22 00:00:00",175.26,150
"17",3204,81,156,6577,"Marat Izmailov",147455,"1982-09-21 00:00:00",170.18,154
"18",3263,67,115,5689,"Kelly Berville",52031,"1978-01-05 00:00:00",177.8,172
"19",3264,62,98,27,"Abdelmalek Cherrad",51868,"1981-01-14 00:00:00",185.42,165
"20",3316,71,108,8196,"Oscar Sanchez",146501,"1979-12-19 00:00:00",180.34,159
"21",3329,64,130,10642,"Vincent Euvrard",51479,"1982-03-12 00:00:00",182.88,165
"22",3377,72,138,6243,"Luca Belingheri",102084,"1983-04-06 00:00:00",182.88,154
"23",3441,71,138,357,"Aleksander Radosavljevic",167285,"1979-04-25 00:00:00",182.88,174
"24",3512,75,143,8559,"Peter Halmosi",53071,"1979-09-25 00:00:00",177.8,163
"25",3517,82,149,471,"Alexandr Kerzhakov",109416,"1982-11-27 00:00:00",175.26,168
"26",3520,86,159,769,"Andrey Arshavin",147777,"1981-05-29 00:00:00",172.72,154
"27",4747,73,128,6056,"Lee Wilkie",139578,"1980-04-20 00:00:00",193.04,183
"28",4863,66,54,1294,"Boban Grncarov",142579,"1982-08-12 00:00:00",193.04,198
"29",4902,77,145,4397,"Iriney",135820,"1981-04-23 00:00:00",177.8,154
"30",4939,64,116,10294,"Tim Clancy",163582,"1984-06-08 00:00:00",180.34,176
"31",4999,59,108,9597,"Sebastian Olszar",138380,"1981-12-16 00:00:00",182.88,163
"32",5016,65,50,4317,"Ibrahim Sidibe",208966,"1984-11-22 00:00:00",177.8,154
"33",5044,68,344,4884,"Jeroen Verhoeven",137692,"1980-04-30 00:00:00",198.12,227
"34",5047,61,309,10786,"Wilko de Vogt",54053,"1975-09-17 00:00:00",187.96,194
"35",5063,68,61,9464,"Sander Duits",148866,"1983-08-29 00:00:00",182.88,172
"36",5184,62,108,4027,"Gudmundur Steinarsson",103288,"1979-10-20 00:00:00",180.34,170
"37",5192,72,146,6566,"Manuel Silas",13119,"1976-09-01 00:00:00",177.8,157
"38",5202,73,139,8857,"Remy Gomis",112352,"1984-02-14 00:00:00",180.34,163
"39",5217,77,140,5996,"Laurent Batlles",117096,"1975-09-23 00:00:00",175.26,150
"40",5223,63,52,8769,"Raffaele Rubino",137425,"1978-01-09 00:00:00",182.88,176
"41",5233,73,132,4307,"Iban Javier Cuadrado",112888,"1979-02-21 00:00:00",187.96,176
"42",5243,76,149,5531,"Julio Alvarez",50429,"1981-05-01 00:00:00",180.34,157
"43",5247,67,118,8548,"Perez Richi",112560,"1977-04-14 00:00:00",187.96,170
"44",5272,68,126,3676,"Gary Coulibaly",169584,"1986-03-30 00:00:00",185.42,190
"45",5362,60,121,4336,"Ifet Taljevic,23",188511,"1980-06-12 00:00:00",177.8,159
"46",5440,67,332,6856,"Marjan Petkovic",122118,"1979-05-22 00:00:00",185.42,185
"47",5468,62,48,3567,"Freddy Mombongo-Dues",190326,"1985-08-30 00:00:00",187.96,192
"48",5610,75,133,10888,"Yann Jouffre",137960,"1984-07-23 00:00:00",175.26,143
"49",5629,73,101,1258,"Bertrand Robert",112251,"1983-11-16 00:00:00",175.26,150
"50",5631,68,113,4848,"Jeremy Blayac",157300,"1983-06-13 00:00:00",187.96,176
"51",5662,73,124,2666,"Dimitri Bulykin",148196,"1979-11-20 00:00:00",190.5,187
"52",5686,65,138,3789,"Gerry Koning",24413,"1980-01-01 00:00:00",180.34,159
"53",5687,66,52,9253,"Rowin van Zaanen",139878,"1984-09-18 00:00:00",175.26,161
"54",5693,71,148,5675,"Kees Kwakman",138373,"1983-06-10 00:00:00",187.96,176
"55",5700,65,132,1660,"Charles Dissels",162970,"1984-12-21 00:00:00",180.34,181
"56",5703,75,149,8211,"Otman Bakkal",162408,"1985-02-27 00:00:00",182.88,176
"57",5710,70,352,2606,"Diederik Boer",9833,"1980-09-24 00:00:00",193.04,198
"58",6757,60,42,2534,"Denis Dessaer",122938,"1983-06-17 00:00:00",190.5,196
"59",6771,60,51,8126,"Oliver Vinamont",155837,"1985-07-15 00:00:00",175.26,165
"60",6798,60,55,9138,"Roel van Hemert",178707,"1984-11-21 00:00:00",182.88,179
