"","team_api_id","buildupPlay","chanceCreation","defence","team_name","no_goals"
"1",1601,139,186,175,"Ruch Chorzów",280
"2",1773,153,157,137,"Oud-Heverlee Leuven",126
"3",1957,158,163,210,"Jagiellonia Bialystok",287
"4",2033,147,165,155,"S.C. Olhanense",138
"5",2182,176,196,160,"Lech Poznan",372
"6",2183,NA,180,175,"P. Warszawa",184
"7",2186,125,168,205,"Cracovia",235
"8",4087,156,180,165,"Évian Thonon Gaillard FC",180
"9",4170,NA,165,200,"US Boulogne Cote D'Opale",31
"10",6269,179,172,151,"Novara",34
"11",6351,NA,160,155,"KAS Eupen",28
"12",6391,153,179,146,"GFC Ajaccio",37
"13",6403,142,170,150,"FC Paços de Ferreira",292
"14",6413,137,165,181,"PEC Zwolle",204
"15",6421,NA,165,90,"Leixões SC",55
"16",6433,160,132,141,"Go Ahead Eagles",74
"17",6493,NA,175,150,"AC Bellinzona",128
"18",6547,147,146,121,"FC Penafiel",29
"19",6631,134,176,164,"FC Dordrecht",24
"20",7730,141,164,165,"FC Lausanne-Sports",99
"21",7788,136,159,138,"SC Cambuur",119
"22",7794,174,156,210,"SC Bastia",165
"23",7819,157,165,205,"SM Caen",220
"24",7841,157,180,153,"Rio Ave FC",248
"25",7842,174,139,150,"Estoril Praia",167
"26",7844,131,179,177,"Vitória Guimarães",300
"27",7869,146,171,129,"Córdoba CF",22
"28",7878,166,200,170,"Granada CF",179
"29",7943,188,186,138,"Sassuolo",141
"30",7955,NA,190,150,"Neuchâtel Xamax",171
"31",8019,140,139,149,"Górnik Leczna",61
"32",8020,NA,150,185,"Polonia Bytom",245
"33",8021,133,192,210,"Zaglebie Lubin",207
"34",8023,134,185,158,"Pogon Szczecin",152
"35",8024,190,185,158,"Widzew Lódz",122
"36",8025,140,165,180,"Slask Wroclaw",318
"37",8027,145,168,143,"Zawisza Bydgoszcz",75
"38",8028,183,169,195,"Piast Gliwice",204
"39",8030,162,183,205,"Lechia Gdansk",279
"40",8031,NA,150,185,"Polonia Bytom",88
"41",8033,193,166,152,"Podbeskidzie Bielsko-Biala",169
"42",8066,169,174,139,"Inverness Caledonian Thistle",345
"43",8121,159,180,140,"Angers SCO",40
"44",8152,161,190,185,"FC St. Pauli",35
"45",8165,153,180,162,"1. FC Nürnberg",193
"46",8177,175,172,155,"Hertha BSC Berlin",238
"47",8178,157,210,200,"Bayer 04 Leverkusen",483
"48",8191,154,210,205,"Burnley",70
"49",8194,198,190,169,"Fortuna Düsseldorf",39
"50",8197,164,185,210,"Leicester City",114
"51",8203,134,150,190,"KV Mechelen",285
"52",8226,180,191,200,"TSG 1899 Hoffenheim",400
"53",8234,160,151,140,"FC Ingolstadt 04",33
"54",8242,NA,155,205,"Odra Wodzislaw",50
"55",8244,190,185,158,"Widzew Lódz",50
"56",8245,192,169,172,"Korona Kielce",237
"57",8262,179,174,129,"SV Darmstadt 98",38
"58",8277,145,173,180,"Vitesse",423
"59",8284,142,158,154,"Dundee FC",127
"60",8295,164,205,170,"Karlsruher SC",30
"61",8302,183,206,195,"Sevilla FC",478
"62",8305,117,155,164,"Getafe CF",345
"63",8306,147,187,171,"UD Las Palmas",45
"64",8315,131,184,170,"Athletic Club de Bilbao",415
