"","size","lat","lon"
"2",1,-41.4545196,145.9706648
"3",6,-38.416097,-63.616672
"4",1,-38.0054771,-57.5426106
"5",1,-37.9619053,146.9886238
"6",3,-37.813611,144.963056
"7",1,-37.7760015,144.8261797
"8",1,-35.2809368,149.1300092
"9",1,-34.9204948,-57.9535657
"10",1,-34.7611823,-58.4302476
"11",2,-34.6036844,-58.3815591
"12",1,-34.4529709,-58.6429866
"13",3,-33.9248685,18.4240553
"14",1,-33.8786748,18.6947617
"15",4,-33.8688197,151.2092955
"16",1,-33.6404794,19.0096562
"17",1,-33.4488897,-70.6692655
"18",1,-33.4314474,-70.6093325
"19",2,-33.0291582,27.8545867
"20",1,-32.885101,151.7239497
"21",6,-30.559482,22.937506
"22",1,-29.6006068,30.3794118
"23",1,-29.3344108,-49.723909
"24",1,-28.6473671,153.601977
"25",1,-27.5946645,-48.5505484
"26",1,-26.2607243,28.4630376
"27",1,-26.2233613,27.848726
"28",2,-26.2041028,28.0473051
"29",1,-26.1574729,28.5914696
"30",1,-26.0963217,27.8076959
"31",1,-26.0063121,28.2108827
"32",2,-25.864029,28.0888578
"33",1,-25.7478676,28.2292712
"34",1,-25.4289541,-49.267137
"35",1,-25.274398,133.775136
"36",1,-25.216609,31.564169
"37",1,-23.8961708,29.4486263
"38",3,-23.5505199,-46.6333094
"39",1,-23.5015338,-47.4525944
"40",1,-22.9846604,-43.200845
"41",3,-22.9068467,-43.1728965
"42",1,-21.0159418,-42.2559685
"43",1,-20.9030555,27.4556388
"44",1,-20.8375261,-42.6562703
"45",1,-19.7963816,34.8844867
"46",1,-18.665695,35.529562
"47",1,-18.5872582,-46.5146749
"48",1,-17.679742,-149.406843
"49",1,-17.6509195,-149.4260421
"50",1,-16.489689,-68.1192936
"51",1,-16.4444127,-39.0653315
"52",2,-14.235004,-51.92528
"53",2,-12.2720956,-76.2710833
"54",1,-9.189967,-75.015152
"55",1,-8.7906945,115.1592718
"56",1,-8.6704582,115.2126293
"57",1,-8.3405389,115.0919509
"58",1,-7.5740867,112.28609
"59",1,-7.280135,112.6347636
"60",1,-7.2574719,112.7520883
"61",1,-6.8034945,-50.4864586
"62",1,-6.5971469,106.8060388
"63",1,-6.291714,106.7954479
"64",2,-6.2614927,106.8105998
"65",1,-6.2250138,106.9004472
"66",1,-6.2215396,106.7830437
"67",1,-6.2023936,106.6527099
"68",2,-6.1744651,106.822745
"69",1,-6.1683295,106.7588494
"70",1,-5.1782884,-80.6548882
"71",1,-4.5585849,105.4068079
"72",1,-2.1709979,-79.9223592
"73",1,-1.9574839,-79.9192702
"74",1,-1.2920659,36.8219462
"75",5,-0.789275,113.921327
"76",1,-0.1806532,-78.4678382
"77",1,0.5070677,101.4477793
"78",1,1.31474,103.894774
"79",1,1.352083,103.819836
"80",1,1.3765241,124.8323727
"81",1,1.492659,103.7413591
"82",1,3.8008893,-76.6412712
"83",1,3.8126318,103.3256204
"84",1,3.919305,-56.027783
"85",1,4.535277,114.727669
"86",2,4.570868,-74.297333
"87",3,4.7109886,-74.072092
"88",2,4.815554,7.0498442
"89",1,5.6037168,-0.1869644
"90",1,6.244203,-75.5812119
"91",1,6.2907432,-10.7605239
"92",2,6.42375,-66.58973
"93",7,6.5243793,3.3792057
"94",1,6.8649081,79.8996789
"95",1,7.4729813,80.3547286
"96",2,7.873054,80.771797
"97",2,7.9137001,-72.1416132
"98",2,7.9519331,98.3380884
"99",1,8.6228,-12.239184
"100",1,8.6231498,-70.2371045
"101",4,9.081999,8.675277
"102",1,9.9280694,-84.0907246
"103",1,9.9784936,-84.3738394
"104",1,10.1537842,-69.8597406
"105",1,10.2441931,-67.6066164
"106",1,10.3910485,-75.4794257
"107",2,10.4805937,-66.9036063
"108",2,10.691803,-61.222503
"109",1,10.9970723,-63.9113296
"110",1,11.3410364,77.7171642
"111",1,11.4500967,77.6822442
"112",1,12.1198363,79.3733064
"113",1,12.140657,-86.244181
"114",1,12.4460001,9.7232673
"115",1,12.7686756,75.2070644
"116",5,12.879721,121.774017
"117",1,12.92442,77.6600552
"118",2,12.9715987,77.5945627
"119",1,13.0826802,80.2707184
"120",1,13.1641308,100.9216588
"121",1,13.3611431,100.9846717
"122",4,13.6899991,100.7501124
"123",1,13.707744,-89.234371
"124",1,13.7354311,100.6408235
"125",10,13.7563309,100.5017651
"126",1,13.775975,100.5422695
"127",1,13.8158172,100.6156878
"128",1,13.82718,100.527847
"129",1,13.97992,100.556384
"130",1,14.0654264,100.6473542
"131",1,14.248601,121.0631599
"132",1,14.3532128,100.5689599
"133",1,14.466728,120.9994802
"134",1,14.4673541,78.8241339
"135",1,14.554729,121.0244452
"136",1,14.5567538,44.3861933
"137",2,14.5995124,120.9842195
"138",1,15.3172775,75.7138884
"139",1,15.5057232,80.049922
"140",1,15.7641991,77.4759334
"141",1,15.8281257,78.0372792
"142",10,15.870032,100.992541
"143",1,16.1100109,120.5163949
"144",2,16.3066525,80.4365402
"145",1,16.4851565,79.8900552
"146",2,16.5061743,80.6480153
"147",6,17.385044,78.486671
"148",1,17.3983774,78.5582652
"149",2,17.6868159,83.2184815
"150",1,17.7227887,83.3062172
"151",1,18.1119051,-66.166
"152",1,18.2148129,-63.0574406
"153",1,18.220833,-66.590149
"154",1,18.4725448,73.891454
"155",1,18.4902777,-89.2602777
"156",3,18.5204303,73.8567437
"157",2,18.6813049,-99.1013498
"158",1,18.7060641,98.9817163
"159",1,18.7530966,104.8742859
"160",2,19.0759837,72.8776559
"161",1,19.3121229,-98.1161069
"162",3,19.4326077,-99.133208
"163",1,19.433346,-99.1407456
"164",1,19.6382457,-99.1622211
"165",1,19.8967662,-155.5827818
"166",2,20,78
"167",1,20.0450379,99.8913421
"168",1,20.2090023,-100.8818401
"169",1,20.3893155,72.9106202
"170",9,20.593684,78.96288
"171",1,21.1458004,79.0881546
"172",1,21.151597,-100.9367183
"173",1,21.1702401,72.8310607
"174",1,21.5178869,70.5502916
"175",1,22.3038945,70.8021599
"176",1,22.396428,114.109497
"177",1,22.4486944,39.1335549
"178",1,22.543096,114.057865
"179",1,22.572646,88.363895
