"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","The #GearFit2 knows exactly what I love to eat! Which @SamsungSA #SamsungMatch is your #Valentine?
https://t.co/s20tntQXX8",FALSE,0,NA,2017-02-17 23:36:03,FALSE,NA,"832735391966846976",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Slim_Ralphiie",0,FALSE,FALSE,NA,NA
"2","RT @MoneyBaggYo: New Mixtape @Moneybaggyo
""Heartless"" Feb 14th #Valentine<ed><U+00A0><U+00BD><ed><U+00B2><U+0094><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> https://t.co/KkBN3FQM4T",FALSE,0,NA,2017-02-17 23:36:02,FALSE,NA,"832735386883366913",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ShelovesQuez",1661,TRUE,FALSE,NA,NA
"3","RT @SlumpHouseCo: Available now at https://t.co/w8s4iG7FNt
#SH #HOTH #Valentine #ValentineRed https://t.co/KLdZJo6mcL",FALSE,0,NA,2017-02-17 23:35:53,FALSE,NA,"832735351252856832",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LennoxQB",1,TRUE,FALSE,NA,NA
"4","RT @babeshowwebsite: <ed><U+00A0><U+00BD><ed><U+00B2><U+0097>@misslyndaleigh<ed><U+00A0><U+00BD><ed><U+00B2><U+0097> 
#lyndaleigh
#milf 
#ValentinesDay
#Valentine

<ed><U+00A0><U+00BD><ed><U+00B2><U+00A5> New Photos Live <ed><U+00A0><U+00BD><ed><U+00B2><U+00A5>

Lots to see - - &gt; https://t.co/M…",FALSE,0,NA,2017-02-17 23:35:18,FALSE,NA,"832735203898466307",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cumonprincess",27,TRUE,FALSE,NA,NA
"5","RT @meganbabes2711: @RT4tat2 @rtsurf_ @RTmutt @RTbitchM @RTCuck @rtswine @RTpetboy #serve #worship #valentine #tribute #spoilme #Homewrecke…",FALSE,0,NA,2017-02-17 23:32:47,FALSE,NA,"832734569841385473",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RTbitchM",3,TRUE,FALSE,NA,NA
"6","RT @NewDeals_C64: #free #win #valentine #giveaway #style Microsoft Surface Book 13.5<U+2033> 128GB, i5 6th Gen.… https://t.co/cfr4HzgxVl https://t…",FALSE,0,NA,2017-02-17 23:32:14,FALSE,NA,"832734431269969920",NA,"<a href=""https://google.com"" rel=""nofollow"">MeeryGuapa</a>","Meery1710",2,TRUE,FALSE,NA,NA
"7","My #flashbackfriday
My #valentine
My #BestFriend
My #Love and #Boo
#Courtside #GirlBoss #NerdLove https://t.co/Ovs5mwIJZk",FALSE,0,NA,2017-02-17 23:31:19,FALSE,NA,"832734199354257408",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","courtshorte",0,FALSE,FALSE,NA,NA
"8","My #valentine everyday<U+2764><U+FE0F>and of course #happyfriday #twitter https://t.co/GSoktJeRod",FALSE,1,NA,2017-02-17 23:31:02,FALSE,NA,"832734127342264323",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Wana_B31",0,FALSE,FALSE,NA,NA
"9","#foreverannoying #birthdaygirl #valentine (3) https://t.co/uchxOfrfoN",FALSE,0,NA,2017-02-17 23:30:44,FALSE,NA,"832734053304410112",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","IAmRikaBose",0,FALSE,FALSE,NA,NA
"10","RT @CocoDorm: Delone Dickson solo scene<ed><U+00A0><U+00BC><ed><U+00BD><U+0086><ed><U+00A0><U+00BC><ed><U+00BD><U+0086><ed><U+00A0><U+00BD><ed><U+00B2><U+00A6> #bigdick #solo #valentine  @CocoDorm @FlavaWorks https://t.co/B07L9UEhNp https://t.co/Dw5Ietf5jI",FALSE,0,NA,2017-02-17 23:30:43,FALSE,NA,"832734047436566528",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tnompong",43,TRUE,FALSE,NA,NA
"11","The story behind my Friendship book about Loyalty ""Teddy &amp; Lily""

https://t.co/4x7cmFbq3u
#book #Valentine #love https://t.co/RjW2W7ZMjn",FALSE,0,NA,2017-02-17 23:30:09,FALSE,NA,"832733908231860226",NA,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>","nasSimadesign",0,FALSE,FALSE,NA,NA
